img,disease_name,disease_index
Bercak Coklat/brownspot_orig_001.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_001_rotate_180.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_001_rotate_270.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_001_rotate_90.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_002.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_002_rotate_180.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_002_rotate_270.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_002_rotate_90.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_003.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_003_rotate_180.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_003_rotate_270.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_003_rotate_90.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_004.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_004_rotate_180.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_004_rotate_270.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_004_rotate_90.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_005.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_005_rotate_180.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_005_rotate_270.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_005_rotate_90.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_006.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_006_rotate_180.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_006_rotate_270.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_006_rotate_90.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_007.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_007_rotate_180.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_007_rotate_270.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_007_rotate_90.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_008.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_008_rotate_180.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_008_rotate_270.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_008_rotate_90.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_009.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_009_rotate_180.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_009_rotate_270.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_009_rotate_90.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_010.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_010_rotate_180.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_010_rotate_270.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_010_rotate_90.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_011.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_011_rotate_180.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_011_rotate_270.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_011_rotate_90.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_012.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_012_rotate_180.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_012_rotate_270.jpg,Bercak Coklat,0
Bercak Coklat/brownspot_orig_012_rotate_90.jpg,Bercak Coklat,0
